#    L    TT             EE             BB             TE          
   265    0.49934E+04    0.37814E+01    0.24803E-01    0.83805E+02
   266    0.49692E+04    0.38949E+01    0.24973E-01    0.85153E+02
   267    0.49445E+04    0.40104E+01    0.25141E-01    0.86471E+02
   268    0.49194E+04    0.41282E+01    0.25310E-01    0.87775E+02
   269    0.48939E+04    0.42480E+01    0.25477E-01    0.89057E+02
   270    0.48681E+04    0.43700E+01    0.25645E-01    0.90317E+02
   271    0.48418E+04    0.44940E+01    0.25811E-01    0.91555E+02
   272    0.48153E+04    0.46203E+01    0.25978E-01    0.92763E+02
   273    0.47884E+04    0.47484E+01    0.26144E-01    0.93957E+02
   274    0.47612E+04    0.48788E+01    0.26309E-01    0.95114E+02
   275    0.47337E+04    0.50111E+01    0.26473E-01    0.96256E+02
   276    0.47059E+04    0.51453E+01    0.26638E-01    0.97361E+02
   277    0.46777E+04    0.52817E+01    0.26801E-01    0.98452E+02
   278    0.46492E+04    0.54200E+01    0.26964E-01    0.99507E+02
   279    0.46205E+04    0.55602E+01    0.27126E-01    0.10053E+03
   280    0.45915E+04    0.57023E+01    0.27288E-01    0.10154E+03
   281    0.45623E+04    0.58463E+01    0.27449E-01    0.10252E+03
   282    0.45327E+04    0.59920E+01    0.27610E-01    0.10346E+03
   283    0.45029E+04    0.61397E+01    0.27770E-01    0.10437E+03
   284    0.44729E+04    0.62891E+01    0.27929E-01    0.10526E+03
   285    0.44427E+04    0.64404E+01    0.28087E-01    0.10612E+03
   286    0.44122E+04    0.65934E+01    0.28245E-01    0.10694E+03
   287    0.43815E+04    0.67480E+01    0.28403E-01    0.10773E+03
   288    0.43507E+04    0.69043E+01    0.28559E-01    0.10849E+03
   289    0.43196E+04    0.70622E+01    0.28715E-01    0.10923E+03
   290    0.42884E+04    0.72215E+01    0.28870E-01    0.10993E+03
   291    0.42570E+04    0.73831E+01    0.29025E-01    0.11059E+03
   292    0.42252E+04    0.75457E+01    0.29179E-01    0.11122E+03
   293    0.41935E+04    0.77091E+01    0.29332E-01    0.11181E+03
   294    0.41615E+04    0.78746E+01    0.29484E-01    0.11239E+03
   295    0.41296E+04    0.80409E+01    0.29636E-01    0.11291E+03
   296    0.40975E+04    0.82093E+01    0.29787E-01    0.11341E+03
   297    0.40652E+04    0.83777E+01    0.29937E-01    0.11388E+03
   298    0.40327E+04    0.85484E+01    0.30087E-01    0.11430E+03
   299    0.40003E+04    0.87205E+01    0.30236E-01    0.11469E+03
   300    0.39676E+04    0.88925E+01    0.30384E-01    0.11504E+03
   301    0.39349E+04    0.90660E+01    0.30532E-01    0.11536E+03
   302    0.39022E+04    0.92403E+01    0.30678E-01    0.11565E+03
   303    0.38695E+04    0.94160E+01    0.30824E-01    0.11590E+03
   304    0.38366E+04    0.95931E+01    0.30969E-01    0.11611E+03
   305    0.38038E+04    0.97702E+01    0.31114E-01    0.11628E+03
   306    0.37709E+04    0.99481E+01    0.31258E-01    0.11642E+03
   307    0.37380E+04    0.10127E+02    0.31400E-01    0.11652E+03
   308    0.37050E+04    0.10307E+02    0.31543E-01    0.11659E+03
   309    0.36722E+04    0.10487E+02    0.31684E-01    0.11661E+03
   310    0.36393E+04    0.10667E+02    0.31825E-01    0.11661E+03
   311    0.36064E+04    0.10850E+02    0.31965E-01    0.11656E+03
   312    0.35737E+04    0.11031E+02    0.32104E-01    0.11648E+03
   313    0.35409E+04    0.11213E+02    0.32243E-01    0.11635E+03
   314    0.35082E+04    0.11396E+02    0.32380E-01    0.11620E+03
   315    0.34756E+04    0.11578E+02    0.32517E-01    0.11600E+03
   316    0.34430E+04    0.11761E+02    0.32654E-01    0.11577E+03
   317    0.34105E+04    0.11943E+02    0.32789E-01    0.11550E+03
   318    0.33781E+04    0.12127E+02    0.32924E-01    0.11519E+03
   319    0.33459E+04    0.12310E+02    0.33058E-01    0.11485E+03
   320    0.33138E+04    0.12492E+02    0.33191E-01    0.11448E+03
   321    0.32817E+04    0.12676E+02    0.33324E-01    0.11406E+03
   322    0.32499E+04    0.12858E+02    0.33456E-01    0.11361E+03
   323    0.32181E+04    0.13040E+02    0.33587E-01    0.11312E+03
   324    0.31865E+04    0.13223E+02    0.33718E-01    0.11258E+03
   325    0.31551E+04    0.13403E+02    0.33847E-01    0.11203E+03
   326    0.31238E+04    0.13584E+02    0.33976E-01    0.11142E+03
   327    0.30928E+04    0.13764E+02    0.34105E-01    0.11079E+03
   328    0.30619E+04    0.13943E+02    0.34233E-01    0.11012E+03
   329    0.30312E+04    0.14122E+02    0.34360E-01    0.10941E+03
   330    0.30007E+04    0.14300E+02    0.34486E-01    0.10867E+03
   331    0.29705E+04    0.14477E+02    0.34612E-01    0.10790E+03
   332    0.29405E+04    0.14654E+02    0.34738E-01    0.10709E+03
   333    0.29106E+04    0.14829E+02    0.34862E-01    0.10625E+03
   334    0.28811E+04    0.15004E+02    0.34986E-01    0.10538E+03
   335    0.28517E+04    0.15176E+02    0.35110E-01    0.10446E+03
   336    0.28226E+04    0.15348E+02    0.35233E-01    0.10352E+03
   337    0.27938E+04    0.15518E+02    0.35355E-01    0.10253E+03
   338    0.27652E+04    0.15687E+02    0.35477E-01    0.10153E+03
   339    0.27370E+04    0.15856E+02    0.35599E-01    0.10048E+03
   340    0.27090E+04    0.16022E+02    0.35720E-01    0.99417E+02
   341    0.26812E+04    0.16187E+02    0.35840E-01    0.98307E+02
   342    0.26538E+04    0.16351E+02    0.35960E-01    0.97167E+02
   343    0.26267E+04    0.16512E+02    0.36080E-01    0.95999E+02
   344    0.25999E+04    0.16672E+02    0.36199E-01    0.94802E+02
   345    0.25734E+04    0.16830E+02    0.36318E-01    0.93575E+02
   346    0.25472E+04    0.16987E+02    0.36437E-01    0.92327E+02
   347    0.25214E+04    0.17141E+02    0.36555E-01    0.91041E+02
   348    0.24958E+04    0.17293E+02    0.36673E-01    0.89727E+02
   349    0.24706E+04    0.17443E+02    0.36790E-01    0.88384E+02
   350    0.24458E+04    0.17591E+02    0.36908E-01    0.87019E+02
   351    0.24214E+04    0.17736E+02    0.37025E-01    0.85624E+02
   352    0.23972E+04    0.17880E+02    0.37142E-01    0.84201E+02
   353    0.23735E+04    0.18021E+02    0.37258E-01    0.82763E+02
   354    0.23500E+04    0.18160E+02    0.37375E-01    0.81288E+02
   355    0.23270E+04    0.18296E+02    0.37491E-01    0.79792E+02
   356    0.23043E+04    0.18431E+02    0.37607E-01    0.78281E+02
   357    0.22820E+04    0.18562E+02    0.37723E-01    0.76741E+02
   358    0.22602E+04    0.18690E+02    0.37839E-01    0.75186E+02
   359    0.22386E+04    0.18815E+02    0.37955E-01    0.73603E+02
   360    0.22175E+04    0.18938E+02    0.38071E-01    0.72001E+02
   361    0.21967E+04    0.19059E+02    0.38187E-01    0.70377E+02
   362    0.21764E+04    0.19176E+02    0.38303E-01    0.68733E+02
   363    0.21564E+04    0.19292E+02    0.38419E-01    0.67071E+02
   364    0.21369E+04    0.19403E+02    0.38535E-01    0.65389E+02
   365    0.21178E+04    0.19511E+02    0.38651E-01    0.63691E+02
   366    0.20990E+04    0.19617E+02    0.38767E-01    0.61975E+02
   367    0.20808E+04    0.19719E+02    0.38883E-01    0.60243E+02
   368    0.20628E+04    0.19818E+02    0.38999E-01    0.58497E+02
   369    0.20454E+04    0.19914E+02    0.39116E-01    0.56734E+02
   370    0.20283E+04    0.20007E+02    0.39233E-01    0.54960E+02
   371    0.20117E+04    0.20096E+02    0.39350E-01    0.53170E+02
   372    0.19954E+04    0.20182E+02    0.39467E-01    0.51369E+02
   373    0.19796E+04    0.20265E+02    0.39584E-01    0.49555E+02
   374    0.19643E+04    0.20344E+02    0.39702E-01    0.47731E+02
   375    0.19493E+04    0.20420E+02    0.39820E-01    0.45896E+02
   376    0.19348E+04    0.20493E+02    0.39938E-01    0.44052E+02
   377    0.19208E+04    0.20562E+02    0.40057E-01    0.42200E+02
   378    0.19071E+04    0.20627E+02    0.40176E-01    0.40338E+02
   379    0.18938E+04    0.20689E+02    0.40295E-01    0.38470E+02
   380    0.18811E+04    0.20749E+02    0.40415E-01    0.36595E+02
   381    0.18687E+04    0.20801E+02    0.40535E-01    0.34715E+02
   382    0.18567E+04    0.20852E+02    0.40655E-01    0.32830E+02
   383    0.18452E+04    0.20899E+02    0.40776E-01    0.30940E+02
   384    0.18343E+04    0.20942E+02    0.40898E-01    0.29047E+02
