#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.695477E-01   0.286519E+05   0.179925E+05   0.746198E+02   0.741772E+02   0.000000E+00   0.269993E+05   0.269993E+05   0.270037E+05  -0.128595E+00   0.262400E+05   0.247335E+05   0.592663E+02
   0.738945E-01   0.269409E+05   0.171717E+05   0.622573E+02   0.618888E+02   0.000000E+00   0.254263E+05   0.254263E+05   0.254300E+05  -0.121095E+00   0.247117E+05   0.232428E+05   0.543909E+02
   0.782412E-01   0.253477E+05   0.157735E+05   0.519795E+02   0.516747E+02   0.000000E+00   0.238633E+05   0.238633E+05   0.238664E+05  -0.113646E+00   0.232219E+05   0.215552E+05   0.582883E+02
   0.825879E-01   0.238549E+05   0.139921E+05   0.434325E+02   0.431815E+02   0.000000E+00   0.223258E+05   0.223258E+05   0.223283E+05  -0.106320E+00   0.217743E+05   0.197754E+05   0.662258E+02
   0.869347E-01   0.224575E+05   0.120752E+05   0.363708E+02   0.361643E+02   0.000000E+00   0.208479E+05   0.208479E+05   0.208500E+05  -0.992788E-01   0.203911E+05   0.180321E+05   0.742468E+02
   0.912814E-01   0.211567E+05   0.102670E+05   0.306053E+02   0.304345E+02   0.000000E+00   0.194684E+05   0.194684E+05   0.194702E+05  -0.927072E-01   0.190974E+05   0.164434E+05   0.795549E+02
   0.966868E-01   0.196820E+05   0.846542E+04   0.249874E+02   0.248503E+02   0.000000E+00   0.179430E+05   0.179430E+05   0.179444E+05  -0.854406E-01   0.176490E+05   0.148146E+05   0.802092E+02
   0.102092E+00   0.183790E+05   0.736086E+04   0.207788E+02   0.206655E+02   0.000000E+00   0.166708E+05   0.166708E+05   0.166720E+05  -0.793801E-01   0.164132E+05   0.136505E+05   0.740415E+02
   0.107498E+00   0.172510E+05   0.697190E+04   0.176413E+02   0.175444E+02   0.000000E+00   0.156573E+05   0.156573E+05   0.156584E+05  -0.745523E-01   0.154014E+05   0.129357E+05   0.627611E+02
   0.112903E+00   0.162788E+05   0.713201E+04   0.152635E+02   0.151783E+02   0.000000E+00   0.148607E+05   0.148607E+05   0.148616E+05  -0.707568E-01   0.145832E+05   0.125545E+05   0.491649E+02
